date,latitude,longitude,sic_value
2019-09-20,69.87708252307692,19.543306082692308,0
2019-09-21,72.18891240833334,26.483957347222223,0
2019-09-22,75.335168025,40.91529536805555,0
2019-09-23,77.74322412083333,59.115821609722225,0
2019-09-24,80.33723806527777,79.4337731423611,0
2019-09-25,81.10230733958333,103.2520700375,0
2019-09-26,81.78247941111111,116.82916703402778,20
2019-09-27,82.07056694166667,119.57441898055555,93
2019-09-28,82.92936454305556,123.2783023138889,84
2019-09-29,84.70244429375,132.46311719722223,98
2019-09-30,85.09468041874999,137.46266931597222,100
2019-10-01,85.06169479930556,136.54839422361113,100
2019-10-02,85.17235970208334,134.35855540555556,100
2019-10-03,85.14479610902778,133.79217048402776,100
2019-10-04,85.10418473028169,133.58920921126762,100
2019-10-05,85.09956583611111,133.7902112340278,100
2019-10-06,85.10312371458333,133.89664889166667,100
2019-10-07,85.06599568194444,134.66054339375,100
2019-10-08,84.96526939166667,136.0756568875,100
2019-10-09,84.91107105902778,135.91924576805556,99
2019-10-10,84.91341108680555,135.35833542777777,100
2019-10-11,84.84940832222223,135.66960032916666,100
2019-10-12,84.8544339673611,135.6268924611111,100
2019-10-13,84.84065691111111,134.90421624236112,100
2019-10-14,84.77039768055556,134.47888149791666,100
2019-10-15,84.76224097013889,134.2573133798611,98
2019-10-16,84.76212925277778,133.50822570763887,100
2019-10-17,84.75552355625001,132.98182618472222,100
2019-10-18,84.82347934166665,133.13684505069443,100
2019-10-19,84.937171925,133.07059490416665,100
2019-10-20,84.99986880694445,132.73863963333332,100
2019-10-21,85.12519079444445,132.46724174722223,99
2019-10-22,85.27139432638889,131.1948653361111,100
2019-10-23,85.34855861944445,129.89026545624998,99
2019-10-24,85.40607466875001,128.90054811041668,99
2019-10-25,85.44622191041667,127.89761549930556,99
2019-10-26,85.4575049,127.39000252152778,100
2019-10-27,85.49949389791666,126.861987475,100
2019-10-28,85.58684684652778,126.14493309375,100
2019-10-29,85.66557908125,125.21502254652779,100
2019-10-30,85.72621672222222,124.2708550736111,100
2019-10-31,85.77428142916666,123.4332503625,99
2019-11-01,85.82044114097222,122.84806475486113,100
2019-11-02,85.85893193680556,122.40487194791666,100
2019-11-03,85.90515929027778,121.28101628125,100
2019-11-04,85.9463903451389,119.76405615416667,99
2019-11-05,85.93913659791667,118.4752884875,99
2019-11-06,85.91880136597223,117.46083176041667,100
2019-11-07,85.91769548402777,116.64787856527778,99
2019-11-08,85.89537512152778,116.04765874305556,100
2019-11-09,85.8400087,115.82016725208334,99
2019-11-10,85.82964979583333,116.15016952291666,100
2019-11-11,85.91430328263888,116.65465414166667,100
2019-11-12,86.03403527361111,117.55709628888889,100
2019-11-13,86.11563792708334,117.97680752499998,100
2019-11-14,86.17161572083334,118.24002260208333,100
2019-11-15,86.19132469930555,118.6169191201389,100
2019-11-16,86.15755234513888,120.95020679097222,99
2019-11-17,85.9988101173611,122.27100569513888,100
2019-11-18,85.83040257638889,120.63548074652778,100
2019-11-19,85.78892384444445,120.80149116458334,100
2019-11-20,85.75928982430555,121.43104018402778,100
2019-11-21,85.74087020833333,120.91570839375001,100
2019-11-22,85.73350092916667,120.61048686944446,100
2019-11-23,85.7537043625,120.58532084027777,99
2019-11-24,85.89498197083333,121.26819431666667,100
2019-11-25,86.04702254166666,120.50582874097222,100
2019-11-26,86.12691407708333,119.1260506576389,100
2019-11-27,86.15835554791666,117.90494114097221,100
2019-11-28,86.15501772291667,116.52974637708333,100
2019-11-29,86.10719628402778,114.29882384999999,99
2019-11-30,86.03926045416667,112.9281573451389,99
2019-12-01,85.95377434652778,113.16015501111112,100
2019-12-02,85.93357545486111,114.05480531944444,99
2019-12-03,86.02446415902779,116.23200868472223,100
2019-12-04,86.10607459166667,118.75499952430556,98
2019-12-05,86.14093254930555,121.09628072847221,99
2019-12-06,86.14194487986111,122.23862909930556,98
2019-12-07,86.17023114305556,122.05826886736112,99
2019-12-08,86.29228562708334,121.31327735416666,99
2019-12-09,86.41090866666667,120.94336579374999,100
2019-12-10,86.50599031875,120.98605284583333,100
2019-12-11,86.5742925625,120.64007374305555,100
2019-12-12,86.59745089583333,120.00705579305557,100
2019-12-13,86.59566627708334,119.14756937083332,100
2019-12-14,86.61221339166667,118.45396435902778,100
2019-12-15,86.61795303125001,117.91476911805555,100
2019-12-16,86.60369032222222,116.41785449166666,99
2019-12-17,86.63684714652778,114.56515629166668,99
2019-12-18,86.67878392847223,113.54405603611112,100
2019-12-19,86.67863363125,112.95433482916667,100
2019-12-20,86.68106042916666,112.58139079791667,100
2019-12-21,86.68665093402778,112.41745874166666,100
2019-12-22,86.6708647923611,112.65684362222221,100
2019-12-23,86.64115185625,113.16484533263889,100
2019-12-24,86.62457159930555,113.94009078472222,100
2019-12-25,86.62639751111111,114.97643599444444,100
2019-12-26,86.65431031388889,115.81245567916666,100
2019-12-27,86.67755446527778,115.94628571875,100
2019-12-28,86.67179573680556,115.72702319652778,100
2019-12-29,86.64275902847221,115.84438805277779,99
2019-12-30,86.596796125,116.87005388888889,100
2019-12-31,86.59649012152778,117.87927518333332,99
2020-01-01,86.70264963125,117.86446950555556,100
2020-01-02,86.82377992222222,116.57714679791667,100
2020-01-03,86.91624086597223,115.68434116527777,99
2020-01-04,87.0055662173611,115.40705795694446,100
2020-01-05,87.06934488541667,115.32145840069444,99
2020-01-06,87.10298862152779,115.16163991041668,100
2020-01-07,87.11844632152777,115.00483436388888,100
2020-01-08,87.11570367986111,115.12648979722222,100
2020-01-09,87.14468354791667,114.23736025486112,100
